PROBLEM NAME: 	simple10-TTP
KNAPSACK DATA TYPE: bounded strongly corr
DIMENSION:	10
NUMBER OF ITEMS: 	20
CAPACITY OF KNAPSACK: 	50
MIN SPEED: 	0.1
MAX SPEED: 	1
RENTING RATIO: 	5.61
EDGE_WEIGHT_TYPE:	CEIL_2D
NODE_COORD_SECTION	(INDEX, X, Y): 
1	288	149
2	288	129
3	270	133
4	256	141
5	256	157
6	246	157
7	236	169
8	228	169
9	228	161
10	220	169
ITEMS SECTION	(INDEX, PROFIT, WEIGHT, ASSIGNED NODE NUMBER): 
1	32	3	1
2	44	4	2
3	55	5	3
4	66	6	4
5	78	7	5
6	88	8	6
7	99	9	7
8	112	10	8
9	121	11	9
10	132	12	10
11	31	3	1
12	43	4	2
13	52	5	3
14	65	6	4
15	77	7	5
16	86	8	6
17	97	9	7
18	110	10	8
19	119	11	9
20	122	12	10
