PROBLEM NAME:  simple500-TTP-mut4
KNAPSACK DATA TYPE: bounded strongly corr
DIMENSION:  0
NUMBER OF ITEMS:   500
CAPACITY OF KNAPSACK:   250
MIN SPEED:	0.1
MAX SPEED:	1
RENTING RATIO:	5.61
EDGE_WEIGHT_TYPE:	CEIL_2D
NODE_COORD_SECTION	(INDEX, X, Y):
1	288	149
2	288	129
3	270	133
4	256	141
5	256	157
6	246	157
7	236	169
8	228	169
9	228	161
10	220	169
ITEMS SECTION (INDEX, PROFIT, WEIGHT, ASSIGNED NODE NUMBER):
1	1	1	1
2	2	1	2
3	3	1	3
4	4	1	4
5	5	1	5
6	6	1	6
7	7	1	7
8	8	1	8
9	9	1	9
10	10	1	10
11	11	1	1
12	12	1	2
13	13	1	3
14	332	1	4
15	15	1	5
16	16	1	6
17	17	1	7
18	18	1	8
19	19	1	9
20	20	1	10
21	21	1	1
22	22	1	2
23	23	1	3
24	24	1	4
25	25	1	5
26	26	1	6
27	27	1	7
28	28	1	8
29	29	1	9
30	30	1	10
31	31	1	1
32	32	1	2
33	33	1	3
34	34	1	4
35	35	1	5
36	36	1	6
37	37	1	7
38	38	1	8
39	39	1	9
40	40	1	10
41	41	1	1
42	42	1	2
43	43	1	3
44	44	1	4
45	45	1	5
46	46	1	6
47	47	1	7
48	48	1	8
49	49	1	9
50	50	1	10
51	51	1	1
52	52	1	2
53	53	1	3
54	54	1	4
55	55	1	5
56	56	1	6
57	57	1	7
58	58	1	8
59	59	1	9
60	60	1	10
61	61	1	1
62	62	1	2
63	63	1	3
64	64	1	4
65	65	1	5
66	66	1	6
67	67	1	7
68	68	1	8
69	69	1	9
70	70	1	10
71	71	1	1
72	72	1	2
73	73	1	3
74	74	1	4
75	75	1	5
76	76	1	6
77	77	1	7
78	78	1	8
79	79	1	9
80	80	1	10
81	81	1	1
82	82	1	2
83	83	1	3
84	84	1	4
85	85	1	5
86	86	1	6
87	87	1	7
88	88	1	8
89	89	1	9
90	90	1	10
91	91	1	1
92	92	1	2
93	93	1	3
94	94	1	4
95	95	1	5
96	96	1	6
97	97	1	7
98	98	1	8
99	99	1	9
100	100	1	10
101	101	1	1
102	102	1	2
103	103	1	3
104	104	1	4
105	105	1	5
106	106	1	6
107	107	1	7
108	108	1	8
109	109	1	9
110	110	1	10
111	111	1	1
112	112	1	2
113	280	1	3
114	114	1	4
115	115	1	5
116	116	1	6
117	117	1	7
118	118	1	8
119	119	1	9
120	120	1	10
121	121	1	1
122	122	1	2
123	123	1	3
124	124	1	4
125	125	1	5
126	126	1	6
127	127	1	7
128	128	1	8
129	129	1	9
130	130	1	10
131	131	1	1
132	132	1	2
133	133	1	3
134	134	1	4
135	135	1	5
136	136	1	6
137	137	1	7
138	138	1	8
139	139	1	9
140	140	1	10
141	141	1	1
142	142	1	2
143	143	1	3
144	144	1	4
145	145	1	5
146	146	1	6
147	147	1	7
148	148	1	8
149	149	1	9
150	150	1	10
151	151	1	1
152	152	1	2
153	153	1	3
154	154	1	4
155	155	1	5
156	156	1	6
157	470	1	7
158	158	1	8
159	159	1	9
160	160	1	10
161	161	1	1
162	162	1	2
163	163	1	3
164	164	1	4
165	165	1	5
166	166	1	6
167	167	1	7
168	168	1	8
169	169	1	9
170	170	1	10
171	171	1	1
172	172	1	2
173	173	1	3
174	174	1	4
175	175	1	5
176	176	1	6
177	177	1	7
178	178	1	8
179	179	1	9
180	180	1	10
181	474	1	1
182	182	1	2
183	183	1	3
184	184	1	4
185	185	1	5
186	186	1	6
187	187	1	7
188	188	1	8
189	189	1	9
190	190	1	10
191	191	1	1
192	192	1	2
193	193	1	3
194	194	1	4
195	195	1	5
196	196	1	6
197	197	1	7
198	198	1	8
199	199	1	9
200	200	1	10
201	201	1	1
202	202	1	2
203	203	1	3
204	204	1	4
205	205	1	5
206	206	1	6
207	207	1	7
208	208	1	8
209	209	1	9
210	210	1	10
211	211	1	1
212	212	1	2
213	213	1	3
214	214	1	4
215	215	1	5
216	216	1	6
217	217	1	7
218	218	1	8
219	219	1	9
220	220	1	10
221	221	1	1
222	222	1	2
223	223	1	3
224	224	1	4
225	225	1	5
226	226	1	6
227	227	1	7
228	228	1	8
229	229	1	9
230	230	1	10
231	231	1	1
232	232	1	2
233	233	1	3
234	234	1	4
235	235	1	5
236	236	1	6
237	237	1	7
238	238	1	8
239	239	1	9
240	240	1	10
241	241	1	1
242	242	1	2
243	243	1	3
244	244	1	4
245	245	1	5
246	246	1	6
247	247	1	7
248	248	1	8
249	249	1	9
250	250	1	10
251	251	1	1
252	252	1	2
253	253	1	3
254	254	1	4
255	255	1	5
256	256	1	6
257	257	1	7
258	258	1	8
259	259	1	9
260	260	1	10
261	261	1	1
262	262	1	2
263	263	1	3
264	264	1	4
265	265	1	5
266	266	1	6
267	267	1	7
268	268	1	8
269	269	1	9
270	270	1	10
271	271	1	1
272	272	1	2
273	273	1	3
274	274	1	4
275	275	1	5
276	276	1	6
277	277	1	7
278	278	1	8
279	279	1	9
280	113	1	10
281	281	1	1
282	282	1	2
283	283	1	3
284	284	1	4
285	285	1	5
286	286	1	6
287	287	1	7
288	288	1	8
289	289	1	9
290	290	1	10
291	291	1	1
292	292	1	2
293	293	1	3
294	294	1	4
295	295	1	5
296	296	1	6
297	297	1	7
298	298	1	8
299	299	1	9
300	300	1	10
301	301	1	1
302	302	1	2
303	303	1	3
304	304	1	4
305	305	1	5
306	306	1	6
307	307	1	7
308	308	1	8
309	309	1	9
310	310	1	10
311	311	1	1
312	312	1	2
313	313	1	3
314	314	1	4
315	315	1	5
316	316	1	6
317	317	1	7
318	318	1	8
319	319	1	9
320	320	1	10
321	321	1	1
322	322	1	2
323	323	1	3
324	324	1	4
325	325	1	5
326	326	1	6
327	327	1	7
328	328	1	8
329	329	1	9
330	330	1	10
331	331	1	1
332	14	1	2
333	333	1	3
334	334	1	4
335	335	1	5
336	336	1	6
337	337	1	7
338	338	1	8
339	339	1	9
340	340	1	10
341	341	1	1
342	342	1	2
343	343	1	3
344	344	1	4
345	345	1	5
346	346	1	6
347	347	1	7
348	348	1	8
349	349	1	9
350	350	1	10
351	351	1	1
352	352	1	2
353	353	1	3
354	354	1	4
355	355	1	5
356	356	1	6
357	357	1	7
358	358	1	8
359	359	1	9
360	360	1	10
361	361	1	1
362	362	1	2
363	363	1	3
364	364	1	4
365	365	1	5
366	366	1	6
367	367	1	7
368	368	1	8
369	369	1	9
370	370	1	10
371	371	1	1
372	372	1	2
373	373	1	3
374	374	1	4
375	375	1	5
376	376	1	6
377	377	1	7
378	378	1	8
379	379	1	9
380	380	1	10
381	381	1	1
382	382	1	2
383	383	1	3
384	384	1	4
385	385	1	5
386	386	1	6
387	387	1	7
388	388	1	8
389	389	1	9
390	390	1	10
391	391	1	1
392	392	1	2
393	393	1	3
394	394	1	4
395	395	1	5
396	396	1	6
397	397	1	7
398	398	1	8
399	399	1	9
400	400	1	10
401	401	1	1
402	402	1	2
403	403	1	3
404	404	1	4
405	405	1	5
406	406	1	6
407	407	1	7
408	408	1	8
409	409	1	9
410	410	1	10
411	411	1	1
412	412	1	2
413	413	1	3
414	414	1	4
415	415	1	5
416	416	1	6
417	417	1	7
418	418	1	8
419	419	1	9
420	420	1	10
421	421	1	1
422	422	1	2
423	423	1	3
424	424	1	4
425	425	1	5
426	426	1	6
427	427	1	7
428	428	1	8
429	429	1	9
